NAME	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex7	Ex8	In1	In2	In3	In4	In5	In6	In7	In8
CA3	1.0	1.9104289244725199	1.5281967443952997	1.00831133370956	1.4417111354715235	1.0392907807772662	1.4305571920766766	2.3323025167079225	1.2386616307457712	1.0	1.0	2.5645449601695818	193.81528355984304	1.009539986686801	1.0773827284572084	1.0
CA8	1.0	1.002845470298709	1.0	1.0	1.0	1.0	1.0	1.0	1.2561122884319573	1.0778422691750285	1.4481303441280016	1.0427970742774133	90.76649514476145	1.1686036221968248	1.0	1.0
CACHD1	3.2550798305890587	5.306057422095186	3.450186283079365	5.75467811088024	3.782952263809159	4.518682559674127	26.169419000954754	95.52682437043615	3.3107169556886924	5.575317642280863	3.194702626627358	2.3962419875584873	2.112077984516091	2.481968619346632	3.665030071648416	5.053972637338401
CACNA2D3	677.2646797070104	1338.8788523930446	520.3869159276801	225.81849619457074	657.5966400821062	988.9176211639806	848.3834656306705	879.4291016608505	533.1157203470049	55.31317800594748	421.5789589126837	78.05059985045705	12.888358120131763	11.1090487018066	515.2182885471447	290.0153545451059
CADPS2	137.00392488961347	685.9778677731509	510.35664986951144	215.5700266254996	732.0222523519947	381.0415669417499	211.3143096304554	690.3777463896666	15.515893467775054	9.263583915406677	14.187081622183982	12.283582332074527	7.218735793785376	9.93810792256588	20.193592966818947	18.213442691107552
CALB1	1.0	5.165414584366276	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.240793546292025	1.1017041961687333	167.18233382449841	1.0048605965019788
CALB2	1.1702041152103773	21.0663681045157	1.0	1.2110062034204558	1.6496911381468184	1.7602818494079853	1.639431438322359	20.65979090712466	28.92765160301056	289.5778059897106	120.434325529473	1.0170201679148938	1.1146694020593593	1.0	1.0	1.0
CAMK2N1	661.6480253118275	125.22454527020335	414.16126714244456	406.3965176997923	57.52692063570122	13.818573824779586	93.03822574570574	144.82969750826342	86.220639698536	125.55531295652783	239.41514504440912	29.34557781351419	92.53279997383643	101.41942134820349	206.03226729125907	109.74709708706119
CAMKK1	183.5251674259764	50.385431347457384	73.23061125400905	88.36505811587577	46.41042327938955	77.89650773417668	84.70318932573849	87.32073408810243	3.2961834218332706	6.649480564813949	1.8623172139433468	13.539005837914635	9.831744816294002	3.4620479607611827	3.2753000671113055	4.495267161348989
CAMKK2	220.5133014166069	113.29835579896113	218.93169309067662	160.34420487476712	176.72738999253278	36.67398952602797	54.81568741956851	235.67578002435076	5.27681229009401	2.5316721659655785	3.032783260849011	24.80461591835015	15.053626330495542	47.707747383891075	16.431754615315874	25.105169597521357
CBLN2	766.2637992981289	74.47062597091895	3.1115872963774764	1.4944545969028504	11.763527858611273	19.181525429877915	223.11134458435214	376.3208964086108	1.9866426775168589	2.0248795401981567	3.6463372895222714	1.8109213661204968	1.7046252376334077	1.3974895926475497	2.314628885840266	3.043350862399973
CBLN4	2.156382831812689	1.0042304029917681	1.0	2.3724654011901727	1.0	1.0	1.0	1.0	1.0	1.0	1.0	51.831056142066046	1.0	1.0	298.5743675228265	1.8920423619223636
CCDC141	4.1536701018197295	2.5690171536432187	4.765649713135927	3.3648172933505105	3.6700400541216887	3.4728513940106946	2.4714440683360697	8.332476317169963	5.057366034680857	53.774058756160905	14.833623037568707	3.604386382573632	2.955147464225929	3.248026937126884	4.3037999094624615	4.5172361415008915
CCDC88C	27.83776469239144	2.032207066675145	2.114901740732931	1.8304637110379542	2.010933064146705	2.095636270916663	1.5708156881312716	2.1336828181507617	3.254019495962998	2.310668712008154	2.51944220735768	2.565464680602745	2.2052310080823565	1.7874842763332222	2.4247508876933797	2.101835648335613
CDH10	12.533063218364493	131.8299664829491	18.393657959595437	123.42240766038381	228.60696886128756	16.30440539639788	93.40553488083549	67.93219127094113	74.99947626402198	85.32478111450936	166.75473561490088	1.8792276437101356	1.4940830922882664	2.1617284298284245	27.61690682276774	37.14960439231061
