NAME	Fetal-Microglia	Fetal-IPC	Fetal-Pericytes	Fetal-OPC	Fetal-Endothelial	Fetal-Astrocytes	Fetal-Oligo	Fetal-Trans	Fetal-NEP	Astrocytes	Endothelial	Fetal-quiescent	Fetal-replicating	Microglia	Neurons	OPC	Oligodendrocytes
NEDD9	17.081656775930615	5.631065524532726	11.350009128845391	1.877421416998764	4.027398250133963	1.5840898777833377	5.352460229114287	1.002091601956169	1.0020967847554854	1.0021079805154849	4.289596689480563	1.0020739994256247	8.399873464719256	199.55907856404002	1.0016262393908735	6.7144394924656305	1.0019191020179363
NELL2	1.1626423272156532	13.324175091294215	6.829519883982326	152.9005897447976	20.256621407673432	81.78926448359766	4.517392994023088	2.584933035368241	1.0	1.0	1.0	198.16611868507067	1.0	1.0	6.6905824500068745	1.0	1.0
NEUROD6	7.749188960941371	30.872726270981165	1.0032456249977364	66.26892955773903	6.193896916804557	193.5734950450068	20.78851959117141	1.0048071027743761	1.0276401528798262	1.0028031328527782	1.004379461049532	2394.682770243711	1.0047819139606324	1.0120004680797852	1.002760695926764	1.003679053895917	1.0037362036577964
NFIA	419.93866371097414	704.62267497083	203.68294726321142	58.241844612850926	259.2229705988767	224.34706562887175	797.2666482113092	8.545213920801281	378.5620302762252	660.2815676685094	145.96237421224748	412.6564462878189	1384.5218261941618	35.14465295692037	2.382696778875097	317.9339115230881	257.92652633487126
NFKBIA	1.439181278604659	3.7333264612184762	1.019627856674101	3.323283781250395	1.0063012482468103	2.3442441063609287	18.324867818396775	1.0405053150075174	1.0664147498379875	98.47947777931023	1675.6487443843143	1.039773172491906	1.0290793280030397	104.63550202127567	2.7722385163034677	45.81929057911113	19.735035971315792
NFKBIZ	1.0100739362169633	1.0044057971569493	1.021046048613942	1.0043750562829556	1.060698501691891	1.004138036928874	1.015759957759757	1.0520794377174765	1.0642706372313402	1.3798298139002536	235.54442056723713	1.0288016811462006	1.0580396995021826	96.41511999244997	1.0041352547836493	17.194611345458153	1.0342499634266276
NIPAL3	1.0027722639750314	1.0026991167838175	1.0027456233775405	1.0026952503959619	1.0027120999853556	1.0026822211004198	1.002616285493024	1.0028170235384102	1.0043128216802342	1.0027922517931698	1.0042210653092618	1.0036148108148804	1.0034764600239627	1.0071558461080494	3.4738991227272273	6.74582236055874	244.4597088886166
NKAIN2	1.0019821935268403	1.0020344209699628	1.001999111318008	1.210301798968006	3.281283118913054	1.0677356731299812	1.0	1.0021127944131407	1.0021704298540495	1.0019437879589563	1.0020950273164684	36.62506191031482	1.0021015597900738	1.0021944594811787	1.0020426147319612	1.0020447913310018	52.088424434164395
NONO	165.94388136884862	530.6729289294566	241.7038426121027	54.48026090110717	84.57306678373199	366.14480240402895	572.3836369100004	254.91130162416476	190.92036131054869	3.3403120729367846	1.0022604758290492	96.17415588182223	131.03829328724893	69.5198512889152	8.863149660319282	35.08317143011237	6.072383535776098
NPM1	1803.7294746103169	2865.221072190719	1828.4622453474333	1504.3973684520963	1438.396032760916	2281.00118084976	3152.940194810558	1964.6720336413866	1131.2967670435867	43.296938373809596	288.31065087279285	130.19623325984347	118.78138002256911	310.0704922058883	41.66098551497069	22.50350187840499	67.47426996903562
NPNT	1.0022597763674086	1.00202152165888	1.002229787005848	1.002143927447721	1.226558626892414	1.0020019991964124	1.0018316470365285	1.0022218334485473	1.0023336164197187	1.0022449869506667	1.0022972088186044	1.0023016257054165	1.0023056016860876	1.0023655275991454	1.0020976777928081	1.0022469276308872	1.0022180542827237
NR4A1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.1273377864137424	196.15168304722147	1.0	1.0	13.908704451433376	1.0	1.9697908745562638	8.006805389402688
NR4A2	1.1191542066452016	1.035911405776929	1.0	1.0	1.0	1.0	1.9653040128085808	1.0	1.0	1.9883070585382967	61.75427708288089	1.0	1.0	29.142003255814636	1.0	3.7549448322049344	22.28617917354528
NRCAM	18.014189121020088	6.475178445324754	5.070557295050235	9.991430540042176	6.704984174917736	8.139513472820223	1.3821559529330263	1.0118803387038047	1.0084397856743414	410.4608889891876	1.0039145835789332	7.516619729376636	1.0049736792306903	1.009363980734258	111.94416472359065	664.3759809368573	1.004048032673432
